target_company,target_ticker,total_filings,first_filing,last_filing,max_ownership_pct,min_ownership_pct
川崎汽船株式会社,9107.T,115,2021-06-14,2026-03-06,0.3899,0.3386
ライフネット生命保険株式会社,7157.T,76,2021-04-06,2026-02-26,0.2113,0.0614
サンケン電気株式会社,6707.T,68,2021-04-07,2025-03-25,0.2865,0.1916
株式会社UACJ,5741.T,60,2021-04-06,2026-02-26,0.2428,0.098
株式会社不動テトラ,1813.T,60,2021-04-21,2026-02-26,0.2728,0.0956
オリエンタル白石株式会社,1786.T,59,2021-04-21,2026-02-26,0.1185,0.0762
富士紡ホールディングス株式会社,3104.T,58,2021-04-06,2026-03-30,0.1866,0.0794
大阪製鐵株式会社,5449.T,43,2021-04-01,2026-02-26,0.0639,0.055
関東電化工業株式会社,4047.T,42,2021-04-21,2026-02-26,0.1983,0.0706
株式会社タムロン,7740.T,33,2021-04-06,2026-03-11,0.1634,0.0687
日産車体株式会社,7222.T,30,2021-04-01,2024-09-27,0.2968,0.2557
株式会社テクノスマート,6246.T,26,2021-04-21,2024-11-07,0.066,0.066
株式会社リコー,7752.T,21,2021-04-01,2026-03-06,0.2477,0.1469
鳥居薬品株式会社,4551.T,20,2021-05-19,2025-01-14,0.0582,0.0479
デクセリアルズ株式会社,4980.T,16,2021-04-06,2022-04-21,0.0917,0.0438
近畿車輛株式会社,7122.T,16,2021-04-21,2024-04-19,0.0975,0.0975
太平洋工業株式会社,7250.T,14,2025-09-03,2026-01-30,0.6922,0.0554
第一生命ホールディングス株式会社,8750.T,14,2021-04-01,2026-02-27,0.1099,0.0899
帝人株式会社,3401.T,11,2024-07-19,2026-03-23,0.1644,0.0603
大平洋金属株式会社,5541.T,10,2021-05-11,2025-12-22,0.0511,0.0212
株式会社アイネス,9742.T,10,2023-08-21,2026-03-03,0.1372,0.063
株式会社メルコホールディングス,6676.T,6,2021-11-08,2024-09-20,0.1052,0.0801
株式会社東芝,6502.T,5,2022-03-31,2023-09-26,0.099,0.0989
コニカミノルタ株式会社,4902.T,4,2024-10-22,2026-03-03,0.0955,0.0581
三井金属エンジニアリング株式会社,1737.T,3,2022-02-01,2022-02-03,0.1066,0.0001
株式会社バッファロー,6676.T,3,2025-05-14,2026-03-04,0.1025,0.079
株式会社西松屋チェーン,7545.T,3,2023-10-19,2024-08-06,0.076,0.0563
株式会社セゾン情報システムズ,9640.T,2,2021-11-08,2021-11-24,0.33,0.0529
株式会社ソフト９９コーポレーション,4464.T,2,2025-11-19,2026-03-12,0.5315,0.3504
株式会社ナイガイ,8013.T,1,2024-05-08,2024-05-08,0.0597,0.0597
